auc_mean,auc_std,delta_f1,f1_mean,f1_std,label,n_seeds,p_f1_vs_full,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,variant
0.867779,0.135647,,0.65604,0.184177,"Full system (proposed: MLP, no CNN/BiLSTM)",3,,0.580452,0.248908,0.680043,0.192779,0.636054,0.185179,full
0.379229,0.529696,-0.428475,0.227564,0.394153,− Adaptive aggregation (vanilla FedAvg),3,0.13465812845441597,0.223259,0.385141,0.215152,0.372653,0.241497,0.418284,no_adaptive
