client_id,n_samples,sample_rate,steps,sigma,delta,epsilon_target,epsilon_spent
0,2212,0.11573236889692586,270,3.02734375,1e-05,3.0,2.859111207623264
1,23789,0.010761276220101727,2790,1.11328125,1e-05,3.0,3.0144355457905534
2,13956,0.01834336486099169,1650,1.34765625,1e-05,3.0,2.969372565547068
3,218467,0.0011718016908732211,25620,0.693359375,4.57735035497352e-06,3.0,2.998295361913804
